date_id,precipitation,temp_max,temp_min,wind,humidity,pressure,solar_radiation,visibility,weather_id,cloudiness_id,estacion_id,date,estacion,weather,cloudiness
1,54.23,15.07,-6.56,8.1,87.03,998.05,486.64,8.65,1,1,1,1980-11-14,Otoño,storm,parcialmente nublado
2,30.87,5.22,3.35,9.34,50.22,996.34,437.66,9.89,1,1,2,2003-05-09,Primavera,storm,parcialmente nublado
3,17.67,8.53,-0.72,4.59,91.58,984.43,1160.79,18.2,2,2,3,2011-02-25,Invierno,rain,despejado
4,14.6,23.86,-3.44,4.62,64.51,998.25,1116.85,6.5,2,2,2,1961-05-07,Primavera,rain,despejado
5,12.83,19.05,-5.09,5.95,34.13,1045.37,467.51,11.88,1,1,2,1972-04-27,Primavera,storm,parcialmente nublado
6,14.91,33.42,-4.82,6.43,81.62,1010.96,1067.24,17.94,1,2,1,2004-11-08,Otoño,storm,despejado
7,12.99,21.28,9.15,2.62,69.87,980.73,875.52,17.34,2,2,4,2009-08-30,Verano,rain,despejado
8,14.11,2.73,1.74,4.09,45.11,1008.52,794.07,7.91,2,1,2,1999-05-11,Primavera,rain,parcialmente nublado
9,44.88,8.1,-6.1,8.44,76.44,1042.96,768.86,12.7,1,1,4,1999-06-03,Verano,storm,parcialmente nublado
10,36.68,18.44,-2.61,7.98,34.17,1002.57,541.15,9.38,3,1,3,2014-01-15,Invierno,cloudy,parcialmente nublado
11,28.48,28.78,0.87,7.52,77.22,1012.16,988.1,14.73,1,2,4,1961-06-08,Verano,storm,despejado
12,21.43,18.54,0.03,2.62,81.65,1011.14,465.38,7.45,2,1,1,2020-11-05,Otoño,rain,parcialmente nublado
13,25.59,25.76,-5.5,3.87,96.71,1005.46,455.3,9.28,2,1,1,1969-11-13,Otoño,rain,parcialmente nublado
14,22.09,19.27,2.61,5.96,68.04,1048.66,607.03,10.69,3,1,3,2022-01-25,Invierno,cloudy,parcialmente nublado
15,18.59,12.78,10.72,8.05,65.8,1013.59,878.56,19.56,1,2,3,2003-01-08,Invierno,storm,despejado
16,14.82,7.78,4.33,5.44,37.71,1012.5,989.75,13.1,3,2,3,2001-01-05,Invierno,cloudy,despejado
17,11.06,2.79,-2.06,2.83,99.12,995.65,516.47,16.57,2,1,2,1991-04-25,Primavera,rain,parcialmente nublado
18,42.1,9.84,6.31,9.32,38.73,996.87,1159.26,8.0,1,2,2,2015-05-03,Primavera,storm,despejado
19,21.5,3.86,1.59,7.2,90.05,1031.32,124.52,4.92,1,1,1,1991-10-20,Otoño,storm,parcialmente nublado
20,30.6,10.58,3.77,7.05,61.75,1014.34,80.64,2.88,3,1,4,2007-06-20,Verano,cloudy,parcialmente nublado
21,39.7,17.31,5.96,6.91,37.65,998.61,713.15,12.34,3,1,1,1961-09-07,Otoño,cloudy,parcialmente nublado
22,48.8,24.03,8.15,6.76,69.06,1001.47,205.41,1.9,1,1,3,1969-12-09,Invierno,storm,parcialmente nublado
23,54.93,4.56,2.44,1.43,67.59,994.47,490.79,16.59,2,1,3,1995-01-03,Invierno,rain,parcialmente nublado
24,4.1,0.04,-0.69,2.33,85.53,1020.42,1072.21,11.01,3,2,4,1979-06-03,Verano,cloudy,despejado
25,35.75,7.92,4.37,9.22,64.97,986.13,673.91,12.16,1,1,2,1990-04-04,Primavera,storm,parcialmente nublado
26,17.08,23.18,9.81,7.79,31.92,1019.66,700.81,12.3,1,1,3,1957-01-30,Invierno,storm,parcialmente nublado
27,35.85,25.37,8.94,6.64,75.14,1039.73,763.01,9.88,1,1,3,1965-02-20,Invierno,storm,parcialmente nublado
28,12.91,34.67,3.13,7.06,77.13,1048.26,978.12,1.38,1,2,4,1995-06-07,Verano,storm,despejado
